word,cluster
corrupt,461
corruption,392
cosmetic,148
cost,422
costar,197
costume,51
cot,43
coterie,284
couch,23
cough,375
could,176
counsel,273
counselor,101
count,18
counter,141
countersignature,282
counting,415
country,342
countryman,333
coupon,282
courage,403
couriere,197
course,220
court,1
courtesy,143
courtyard,132
cousin,101
cover,141
coverall,161
cowardice,171
cower,238
coworker,321
coy,146
coﬀee,28
crack,482
cradle,280
craft,193
cram,71
crane,148
crash,91
crave,234
crawl,156
crazy,227
cream,437
create,205
creation,244
creature,383
credit,30
creep,193
crib,71
crime,440
criminal,461
crimson,29
cringe,59
cripple,71
crisscross,71
critic,85
criticism,440
criticize,464
critique,323
croak,325
crook,182
cross,182
crotch,156
crouch,11
crow,106
crown,280
cruelty,96
crumble,71
crumple,71
crumpled,149
crusade,12
crush,260
crust,280
crutch,411
cruzin,391
cry,172
crying,172
cubby,419
cuddle,488
cue,182
cuff,260
cultivate,426
culture,440
cunt,197
cup,102
cups,102
curb,280
cure,437
curfew,138
curiosity,193
curiously,188
curl,40
currency,342
curriculum,32
curse,35
curt,166
curtain,20
curtsy,278
curve,40
custom,332
customer,51
customize,261
customline,261
cut,48
cuticle,58
cv,134
cycle,100
cycling,402
dab,296
dabble,212
dad,101
daddy,101
dagger,500
damage,244
damn,90
dampen,234
dance,162
dancer,162
dancing,162
dangle,159
dare,227
dares,469
daring,118
darling,147
dart,12
dash,156
date,77
daub,365
daughter,473
dawdle,411
day,476
daybe,419
daydream,87
daze,260
dazzle,8
deaate,282
dead,116
deal,166
dealer,383
dean,166
dear,375
death,474
deathbed,56
debate,440
debt,30
decade,100
decamp,511
decant,197
decare,511
deceive,138
deception,244
decide,379
decision,32
declaration,32
declare,38
decline,32
dedicate,158
dedication,222
deed,280
deem,365
deepen,234
defeat,75
defect,192
defend,214
defender,279
defense,440
defiance,143
defile,419
define,263
deflate,158
deflect,407
defloration,167
deflower,238
deformity,265
defy,26
degrade,31
degree,169
delay,61
delete,44
deliberate,118
delight,15
delirium,300
deliver,346
delivery,383
delve,22
demand,137
demean,66
demeanor,43
demise,43
democracy,294
demon,135
demonstrate,346
demur,284
den,17
denial,96
denounce,281
denunciate,122
deny,288
depart,463
department,390
departure,375
depend,459
dependence,75
depict,379
deport,124
deposit,1
depress,282
depressed,462
deprive,187
descend,288
descent,463
describe,379
description,357
desert,61
deserve,280
design,95
desire,264
desk,510
deskmate,510
despair,244
despaired,2
desperation,244
despise,97
despondency,493
destination,61
destine,511
destiny,193
destroy,9
destruction,244
detach,124
detachment,362
detain,124
detect,232
deter,43
determination,32
determine,269
determined,107
detest,464
detonate,124
detour,407
devastate,300
devastation,244
develop,269
developing,95
development,95
deviate,26
deviation,1
device,390
devise,26
devote,306
devotion,143
devour,285
deﬁance,7
deﬁe,151
deﬁlement,7
deﬂecte,283
diagnose,242
diagnosis,32
dial,383
dialect,190
diaper,417
diary,375
dice,353
dick,156
dictate,464
dictionary,74
die,437
difference,255
dig,346
digest,459
dignify,158
dignity,143
diminish,355
din,188
dinner,209
dip,73
direct,40
direction,40
directory,74
disabuse,122
disadvantaged,462
disagree,1
disappear,137
disappearance,75
disappoint,202
disappointment,127
disapproval,193
disapprove,202
disarm,301
disassociate,300
disastrous,61
disbelief,15
discard,44
discern,94
discharge,61
discipline,107
disclose,269
discomfort,193
disconnect,55
discontent,75
discourage,75
discover,206
discovery,484
discuss,379
discussion,32
disdain,49
disease,392
disembark,55
disembarking,55
disengage,301
