n_personas,persona,role,word,weight
13,1,predicative,spirit,0.008174372
13,1,predicative,unconscious,0.0028762647
13,1,predicative,much,0.0012548058
13,2,predicative,thing,0.0020908837
13,4,predicative,thirsty,0.002901625
13,4,predicative,star,0.0026515573
13,5,predicative,important,0.0044463887
13,7,predicative,brother,0.0009703147
13,7,predicative,clear,9.658248e-05
13,9,predicative,rich,0.011716698
13,9,predicative,charm,0.0001303601
13,10,predicative,calm,0.0053953687
13,10,predicative,envious,0.0029773377
13,12,predicative,beauty,0.0027581272
14,1,agent,worry,0.01361615
14,1,agent,living,0.0074173636
14,1,agent,shake,0.0043978095
14,3,agent,sleep,0.024011102
14,3,agent,seem,0.0036199135
14,4,agent,open,0.013316755
14,4,agent,bear,0.0009808702
14,5,agent,drank,0.046177883
14,5,agent,making,0.017943745
14,7,agent,throw,0.013436755
14,7,agent,smile,0.010417231
14,8,agent,recognize,0.007339577
14,9,agent,grab,0.02619034
14,10,agent,getting,0.00020743626
14,11,agent,enjoyed,0.015450311
14,11,agent,lie,0.010778266
14,11,agent,listen,0.0023134737
14,12,agent,change,0.003938421
14,13,agent,respond,0.0022671325
14,1,patient,killing,0.018545967
14,2,patient,use,0.03146602
14,2,patient,affect,0.01913467
14,2,patient,scold,0.011311549
14,4,patient,felt,0.012046071
14,6,patient,afford,0.024719028
14,8,patient,surrounding,0.017146854
14,9,patient,lecture,0.0150664495
14,10,patient,turn,0.024301827
14,10,patient,urge,0.019725472
14,10,patient,spare,0.016420016
14,10,patient,inform,0.010781296
14,11,patient,betrothed,0.013748445
14,11,patient,deliver,0.009274464
14,12,patient,make,0.01962187
14,12,patient,press,0.014128411
14,12,patient,harm,0.010804058
14,12,patient,confused,0.008544372
14,0,possessive,career,0.049850695
14,1,possessive,murder,0.10286485
14,3,possessive,breathing,0.086696506
14,4,possessive,story,0.062398326
14,5,possessive,luck,0.059511766
14,5,possessive,year,0.05935937
14,5,possessive,anger,0.051413115
14,6,possessive,bowl,0.05726275
14,8,possessive,best,0.08073409
14,8,possessive,blood,0.056089204
14,12,possessive,vision,0.052684635
14,13,possessive,gate,0.048956353
14,0,predicative,brother,0.012018093
14,0,predicative,head,0.0014653982
14,1,predicative,opposite,0.00244581
14,2,predicative,dry,0.00556414
14,3,predicative,welcome,0.0016941087
14,4,predicative,worry,0.004139046
14,5,predicative,failure,0.0030235655
14,6,predicative,lovely,0.0047643534
14,9,predicative,star,0.002929634
14,10,predicative,piece,0.0027513732
14,12,predicative,family,0.014225846
14,13,predicative,ward,0.009389801
15,0,agent,crying,0.0094206305
15,1,agent,respond,0.0031349482
15,2,agent,forgot,0.031355236
15,3,agent,worry,0.00062068226
15,4,agent,cry,0.006026262
15,6,agent,show,0.05306608
15,6,agent,walking,0.02529898
15,6,agent,grab,0.011638799
15,6,agent,shake,0.00031991425
15,7,agent,start,0.045789104
