character_id,role,word,freq
1,agent,want,2
1,agent,wanted,2
1,agent,wearing,1
1,agent,went,3
1,agent,whispered,1
1,agent,wished,1
1,agent,wondered,3
1,patient,approached,1
1,patient,braced,1
1,patient,called,1
1,patient,checked,1
1,patient,dragged,1
1,patient,dressed,1
1,patient,given,2
1,patient,knew,1
1,patient,left,3
1,patient,met,1
1,patient,phone,1
1,patient,reminded,1
1,patient,seating,1
1,patient,show,1
1,patient,take,1
1,patient,tell,3
1,patient,thank,1
1,patient,told,4
1,patient,try,1
1,possessive,ankle,4
1,possessive,ankles,1
1,possessive,apartment,2
1,possessive,bag,1
1,possessive,bare,1
1,possessive,boss,2
1,possessive,chin,1
1,possessive,city,1
1,possessive,concerns,2
1,possessive,expression,1
1,possessive,eyes,2
1,possessive,face,1
1,possessive,government,1
1,possessive,hair,3
1,possessive,hand,3
1,possessive,hands,2
1,possessive,help,1
1,possessive,identity,1
1,possessive,inclination,1
1,possessive,knees,1
1,possessive,knowledge,1
1,possessive,laptop,1
1,possessive,lenich,1
1,possessive,life,1
1,possessive,luck,1
1,possessive,machine,1
1,possessive,mind,2
1,possessive,mission,1
1,possessive,mother,2
1,possessive,nearness,1
1,possessive,observation,1
1,possessive,office,1
1,possessive,partner,1
1,possessive,phone,1
1,possessive,place,1
1,possessive,plan,1
1,possessive,reading,1
1,possessive,reasons,1
1,possessive,residence,1
1,possessive,responsibility,1
1,possessive,room,4
1,possessive,shoes,1
1,possessive,shoulders,1
1,possessive,spine,1
1,possessive,time,1
1,possessive,watch,1
1,possessive,years,1
1,predicative,attractive,1
1,predicative,awake,1
1,predicative,busy,2
1,predicative,concerned,1
1,predicative,marshal,1
1,predicative,ready,2
1,predicative,sleepy,1
1,predicative,sure,1
1,predicative,tired,1
1,predicative,willing,1
2,agent,added,1
2,agent,asked,1
2,agent,attributed,1
2,agent,bear,1
2,agent,becoming,2
2,agent,began,1
2,agent,believe,1
2,agent,bought,2
2,agent,call,1
2,agent,caught,2
2,agent,chosen,1
2,agent,come,2
2,agent,considered,2
2,agent,curled,1
2,agent,decided,2
2,agent,dialed,2
2,agent,divided,1
2,agent,do,1
2,agent,done,2
2,agent,doubted,1
2,agent,exclaimed,1
2,agent,explain,1
2,agent,failed,3
2,agent,found,3
2,agent,gaped,1
2,agent,getting,1
2,agent,given,1
2,agent,going,2
2,agent,grow,1
2,agent,had,5
2,agent,happened,1
2,agent,have,3
2,agent,heard,3
2,agent,help,1
2,agent,helped,2
2,agent,hurried,1
2,agent,insisted,1
2,agent,joked,1
2,agent,kept,1
2,agent,knew,5
2,agent,know,1
2,agent,ladled,1
2,agent,ladling,1
2,agent,leaned,1
2,agent,left,1
2,agent,look,1
2,agent,looked,4
2,agent,made,5
2,agent,make,1
2,agent,married,1
2,agent,need,1
2,agent,noticed,2
2,agent,observed,1
2,agent,offered,1
2,agent,paid,1
2,agent,plucked,1
2,agent,push,1
2,agent,put,2
2,agent,ran,3
2,agent,read,4
2,agent,reflected,1
2,agent,remembered,1
2,agent,reserved,1
2,agent,respond,1
2,agent,rested,1
2,agent,run,1
2,agent,said,17
2,agent,saw,2
2,agent,says,1
2,agent,scribbled,1
2,agent,sliced,1
2,agent,started,1
2,agent,stepped,3
2,agent,stood,1
2,agent,talked,1
2,agent,talking,1
2,agent,think,3
2,agent,thought,6
2,agent,told,1
2,agent,took,3
2,agent,tried,1
2,agent,turned,1
2,agent,volunteered,1
2,agent,walked,2
2,agent,want,1
2,agent,wanted,3
2,agent,went,1
2,agent,whispered,1
2,agent,wiped,1
2,agent,woken,1
2,agent,wondered,3
2,agent,wore,1
2,agent,working,2
2,patient,call,1
2,patient,calling,1
2,patient,considered,1
2,patient,interviewed,1
2,patient,intrigued,1
2,patient,killed,1
2,patient,nestling,1
2,patient,overjoyed,1
2,patient,recognizing,1
2,patient,remember,1
2,patient,tempted,1
2,patient,told,1
2,patient,wake,1
2,possessive,attention,1
2,possessive,bag,1
2,possessive,bowl,1
2,possessive,breasts,1
2,possessive,childhood,1
2,possessive,circle,1
2,possessive,death,1
2,possessive,decision,1
2,possessive,door,1
2,possessive,family,1
2,possessive,fate,1
2,possessive,father,2
2,possessive,feet,1
2,possessive,forehead,1
2,possessive,hair,3
2,possessive,hand,2
2,possessive,hands,1
2,possessive,head,2
2,possessive,idea,1
2,possessive,job,1
2,possessive,legs,1
2,possessive,life,1
2,possessive,lines,1
2,possessive,lips,1
2,possessive,office,1
2,possessive,presence,1
2,possessive,reaction,1
2,possessive,rice,1
2,possessive,shoulder,1
2,possessive,son,1
2,possessive,suspicions,1
2,possessive,thinking,1
2,possessive,thirties,1
2,possessive,thoughts,1
2,possessive,toes,1
2,possessive,use,1
2,possessive,way,1
2,possessive,years,1
2,predicative,asleep,1
2,predicative,busier,1
2,predicative,busy,2
2,predicative,confused,1
2,predicative,sure,2
2,predicative,tragic,1
2,predicative,woman,1
2,predicative,worried,1
3,agent,help,1
3,agent,helped,1
3,agent,raised,1
3,agent,reserved,1
3,agent,said,1
3,patient,assigned,1
3,patient,calls,1
3,patient,sending,1
3,possessive,something,1
3,possessive,studies,1
3,possessive,voice,1
3,predicative,busy,1
3,predicative,girl,1
4,agent,accomplish,1
4,agent,added,1
4,agent,agreed,1
4,agent,appeared,3
4,agent,arrange,1
4,agent,arrived,3
4,agent,ask,1
4,agent,asked,14
4,agent,assured,1
4,agent,believed,1
4,agent,boast,1
4,agent,bought,2
4,agent,bringing,1
4,agent,brought,1
4,agent,bumped,1
4,agent,called,2
4,agent,calls,1
4,agent,came,4
4,agent,carried,2
4,agent,catch,1
4,agent,caught,1
4,agent,check,1
4,agent,choose,1
4,agent,chose,1
4,agent,clasped,1
4,agent,climbed,1
4,agent,come,4
4,agent,commented,1
4,agent,crossed,1
4,agent,crumbled,1
4,agent,cut,1
4,agent,decided,2
4,agent,deserve,1
4,agent,did,2
4,agent,do,4
4,agent,doing,1
4,agent,done,1
4,agent,doubt,1
4,agent,drying,1
4,agent,encountered,1
4,agent,enjoyed,1
4,agent,entered,1
4,agent,equivocated,1
4,agent,escort,1
4,agent,examined,1
4,agent,exclaimed,1
4,agent,excused,1
4,agent,faced,1
4,agent,feel,1
4,agent,feels,1
4,agent,felt,1
4,agent,followed,2
4,agent,forming,1
4,agent,found,4
4,agent,gathered,1
4,agent,gave,1
4,agent,gazed,2
4,agent,getting,1
4,agent,give,1
4,agent,go,1
4,agent,going,5
4,agent,grasped,1
4,agent,guess,2
4,agent,had,5
4,agent,handed,1
4,agent,happened,3
4,agent,has,4
4,agent,have,15
4,agent,heard,2
4,agent,help,1
4,agent,helped,1
4,agent,helping,1
4,agent,hoped,1
4,agent,insist,1
4,agent,insisted,1
4,agent,insists,1
4,agent,interjected,1
4,agent,intervened,1
4,agent,joined,1
4,agent,knew,3
4,agent,know,5
4,agent,lay,1
4,agent,leaned,2
4,agent,leaves,1
4,agent,leaving,1
4,agent,left,4
4,agent,like,2
4,agent,listened,1
4,agent,lit,2
4,agent,looked,8
4,agent,lost,1
4,agent,made,2
4,agent,mean,3
4,agent,meet,1
4,agent,merging,1
4,agent,met,1
4,agent,need,1
4,agent,needed,1
4,agent,nodded,1
4,agent,noticed,2
4,agent,obliged,1
4,agent,overheard,1
4,agent,paying,1
4,agent,picked,2
4,agent,place,1
4,agent,pounding,1
4,agent,poured,2
4,agent,produced,1
4,agent,promise,1
4,agent,protested,1
4,agent,provide,2
4,agent,pulling,1
4,agent,pushed,3
4,agent,put,5
4,agent,putting,1
4,agent,raised,2
4,agent,reach,1
4,agent,read,3
4,agent,reflected,1
4,agent,regretted,1
4,agent,replied,1
4,agent,return,1
4,agent,returned,2
4,agent,rose,2
4,agent,rubbed,2
4,agent,running,1
4,agent,said,66
4,agent,sampled,1
4,agent,saw,4
4,agent,says,1
4,agent,scratching,1
4,agent,searched,1
4,agent,seated,2
4,agent,see,2
4,agent,seem,1
4,agent,seemed,2
4,agent,shop,1
4,agent,shot,1
