Character id,Persona Prob Vec
A_Case_of_Two_Cities_2219,"0.099652,0.102212,0.102960,0.101059,0.093621,0.100881,0.091103,0.097254,0.097077,0.114182"
A_Case_of_Two_Cities_222,"0.077623,0.088026,0.115661,0.096184,0.108395,0.091365,0.130943,0.097348,0.080854,0.113601"
A_Case_of_Two_Cities_224,"0.087575,0.092158,0.107878,0.100235,0.110639,0.095520,0.121140,0.091776,0.096551,0.096527"
A_Case_of_Two_Cities_2247,"0.070664,0.070260,0.102666,0.091883,0.120789,0.079015,0.204350,0.092456,0.080773,0.087146"
A_Case_of_Two_Cities_226,"0.093842,0.098282,0.102497,0.102573,0.101178,0.101737,0.105960,0.095619,0.098251,0.100061"
A_Case_of_Two_Cities_2264,"0.093310,0.092774,0.100644,0.100242,0.107434,0.097509,0.120376,0.097248,0.094347,0.096116"
A_Case_of_Two_Cities_227,"0.095347,0.094896,0.100324,0.100472,0.105983,0.097558,0.113293,0.098671,0.096060,0.097396"
A_Case_of_Two_Cities_228,"0.097919,0.099574,0.101612,0.100001,0.101344,0.098813,0.101591,0.099124,0.098778,0.101243"
A_Case_of_Two_Cities_229,"0.093646,0.094243,0.103302,0.100687,0.108883,0.097546,0.110202,0.094802,0.096997,0.099693"
A_Case_of_Two_Cities_2300,"0.099032,0.099183,0.104837,0.101225,0.100730,0.100302,0.101183,0.096350,0.095521,0.101637"
A_Case_of_Two_Cities_2306,"0.100364,0.099475,0.098666,0.100506,0.099492,0.103375,0.100124,0.097871,0.098897,0.101229"
A_Case_of_Two_Cities_231,"0.096758,0.098662,0.102049,0.100423,0.102140,0.098296,0.104977,0.100126,0.097286,0.099282"
A_Case_of_Two_Cities_2310,"0.089153,0.092285,0.100937,0.100525,0.109629,0.092942,0.122783,0.099844,0.094586,0.097315"
A_Case_of_Two_Cities_2313,"0.092916,0.106624,0.094449,0.106274,0.103999,0.095154,0.101702,0.103124,0.089869,0.105889"
A_Case_of_Two_Cities_2315,"0.097128,0.100333,0.102248,0.103681,0.095800,0.101731,0.094290,0.096581,0.099578,0.108629"
A_Case_of_Two_Cities_2318,"0.096652,0.097164,0.103650,0.102040,0.102238,0.102876,0.104425,0.095092,0.094825,0.101037"
A_Case_of_Two_Cities_232,"0.098565,0.098293,0.098195,0.099923,0.101673,0.096773,0.105096,0.101362,0.100642,0.099477"
A_Case_of_Two_Cities_233,"0.097300,0.098781,0.105450,0.098790,0.101987,0.102529,0.105242,0.094165,0.098165,0.097593"
A_Case_of_Two_Cities_234,"0.098278,0.098925,0.100524,0.098971,0.101751,0.099282,0.103387,0.099906,0.099130,0.099846"
A_Case_of_Two_Cities_2348,"0.099804,0.102526,0.098673,0.102940,0.094897,0.103448,0.091558,0.099088,0.095202,0.111864"
A_Case_of_Two_Cities_2350,"0.088888,0.095615,0.104950,0.100083,0.107837,0.095364,0.116698,0.096802,0.095006,0.098757"
A_Case_of_Two_Cities_2352,"0.089153,0.092285,0.100937,0.100525,0.109629,0.092942,0.122783,0.099844,0.094586,0.097315"
A_Case_of_Two_Cities_2353,"0.115528,0.105406,0.093405,0.104662,0.095078,0.104704,0.079168,0.100000,0.098131,0.103919"
