word,cluster_id
human,464
beaten,735
steadies,310
cheering,220
words,223
reputed,9
-or,895
toddled,289
western,925
disavowed,146
disciple,826
serenity,562
calculated,259
issued,747
climb,115
awful,682
bequest,159
cans,624
spank,444
ravaged,839
walkie,86
guilt,682
smelling,241
statement,521
shitting,944
tsingtao,809
giving,460
toys,650
jialing,668
pocketknife,945
resolutions,206
blossomed,915
asserted,469
thanks,85
screening,103
flamboyant,560
sprung,901
cuisine,655
coyly,129
mum,128
misfortunes,864
washes,801
mentioning,327
claimed,339
possible,542
envisage,845
nourish,391
presents,124
castrate,328
outgrew,383
wooing,199
envious,714
distinguish,214
dots,192
chipping,532
cynical,1
curtains,279
electrician,430
unhappy,1
atlas,368
protect,417
doodles,149
empowered,4
folk,271
roles,307
nonsense,629
t'rowed,877
scope,504
harvested,40
drivel,810
calculates,152
not,186
convoy,603
uncertainties,97
doorway,688
reasoning,140
commercial,954
quarantined,10
blasts,612
paw,592
his,629
nestled,303
foundation,278
tripping,908
sarcasm,23
sinologist,809
foreignness,450
pavilion,170
building,300
footfall,908
judicious,567
transgressed,139
feverish,48
tacked,98
bestowing,545
dismissiveness,155
begun,987
typo,487
heaved,303
held,314
launches,371
vial,415
molding,270
begging,216
vpn,22
withholding,131
retched,43
reenergized,332
injunctions,754
skeleton,37
mansion,74
flattering,189
vivendi,365
proclivity,22
perch,113
reliable,589
savior,303
gasp,144
shifts,533
feats,620
urinated,543
criminals,628
paraded,513
pretend,14
award,875
murmuring,607
robot,472
ringleader,177
determination,20
seized,214
guards,804
forced,156
lengthens,493
ru田ed,269
colleague,442
masts,221
intention,504
edges,520
folders,806
muskets,580
flee,214
hurtle,252
confronted,786
devious,585
germany,127
sojourn,173
raked,793
uniforms,827
customer,865
info,931
clasping,199
rebuking,468
purloin,22
creating,510
rump,58
mouthpiece,350
nuzzled,119
crocheted,843
quack,667
trash,208
play-,911
boss,440
filming,78
incredulity,879
gloated,43
cremated,352
signaled,18
rug,967
seamstress,342
rendition,271
spews,588
gesticulating,951
sales,738
screeched,635
grinning,23
dangle,741
fathom,202
maidservant,342
upstaged,310
paddling,90
helmets,827
ensures,510
unbeautiful,477
rouge,271
weakening,835
meetings,791
shuﬄe,25
distrusting,68
-descended,489
ofered,338
behaviour,835
minivan,419
misheard,320
lunching,579
doin',579
slowest,952
ipod,456
bursts,533
erect,39
disinclined,317
resurfaced,523
