char_key,author,book,m_idx,persona,char_id,best_name,gender,count,other_names
Dreams_of_Joy_577,Lisa_See,Dreams_of_Joy,22,5,577,your mother,she/her,57,
Dreams_of_Joy_5773,Lisa_See,Dreams_of_Joy,22,3,5773,Character_5773,None,13,
Dreams_of_Joy_578,Lisa_See,Dreams_of_Joy,22,1,578,a baby,None,26,
Dreams_of_Joy_5803,Lisa_See,Dreams_of_Joy,22,2,5803,Character_5803,None,20,
Dreams_of_Joy_594,Lisa_See,Dreams_of_Joy,22,5,594,the FBI,they/them/their,10,
Dreams_of_Joy_611,Lisa_See,Dreams_of_Joy,22,1,611,the man,he/him/his,15,
Dreams_of_Joy_6166,Lisa_See,Dreams_of_Joy,22,2,6166,Character_6166,they/them/their,27,
Dreams_of_Joy_6196,Lisa_See,Dreams_of_Joy,22,2,6196,Character_6196,None,33,
Dreams_of_Joy_6293,Lisa_See,Dreams_of_Joy,22,2,6293,Character_6293,None,17,
Dreams_of_Joy_637,Lisa_See,Dreams_of_Joy,22,1,637,the captain,he/him/his,24,
Dreams_of_Joy_6444,Lisa_See,Dreams_of_Joy,22,1,6444,The oldest of the guards,he/him/his,10,
Dreams_of_Joy_6527,Lisa_See,Dreams_of_Joy,22,2,6527,Character_6527,he/him/his,24,
Dreams_of_Joy_6617,Lisa_See,Dreams_of_Joy,22,1,6617,my granddaughter,she/her,15,
Dreams_of_Joy_6676,Lisa_See,Dreams_of_Joy,22,7,6676,Character_6676,they/them/their,21,
Dreams_of_Joy_6684,Lisa_See,Dreams_of_Joy,22,2,6684,Character_6684,None,17,
Dreams_of_Joy_6710,Lisa_See,Dreams_of_Joy,22,2,6710,Character_6710,None,34,
Dreams_of_Joy_6829,Lisa_See,Dreams_of_Joy,22,2,6829,Character_6829,they/them/their,9,
Dreams_of_Joy_6854,Lisa_See,Dreams_of_Joy,22,2,6854,Character_6854,None,26,
Dreams_of_Joy_695,Lisa_See,Dreams_of_Joy,22,1,695,An inspector dressed in an ill - fitting drab green uniform,he/him/his,16,
Dreams_of_Joy_6972,Lisa_See,Dreams_of_Joy,22,3,6972,Character_6972,he/him/his,17,
Dreams_of_Joy_7100,Lisa_See,Dreams_of_Joy,22,7,7100,Character_7100,they/them/their,25,
