book name,author
THE MINISTRY OF THUNDER,DAVIDE MANA
The Moon Chaser,ALEXA KANG
The MUSTACHIOED WOMAN of SHANGHAI,ISHAM COOK
The Night Shanghai,Michael & Thomas Foley
THE NINE FOLD HEAVEN,MINGMEI YIP
THE painter FROM SHANGHAI,JENNIFER CODY EPSTEIN
THE PINK LOTUS,GARRETT HUTSON
The Potato Eaters of Shanghai,M. Joakim Eriksson
THE PRINCELING OF NANJING,IAN HAMILTON
The Purple Heart of Erlik,Robert E. Howard
THE RECKONING,ANN ROSE
THE RED THREAD A LOVE STORY,Nicholas Jose
THE REDEMPTION OF GARRY JONES,ROBERT BLAIN
THE RISK AGENT,Ridley Pearson
The Road of Others,Anni Baobei
the scarlet phoenix,harmen kalman
THE SCHOLAR'S BLADE,CHRIS EMMETT
THE SECOND ENEMY,HOWARD TURK
THE SERPENT in the Shanghai Tunnels,J.M. Djinovic
THE SHANGHAI BOX,HOWARD TURK
THE SHANGHAI CIRCLE CHINESE CIRCLES book one,TONY HENDERSON
THE SHANGHAI CONNECTION,ALEXEI CYREN
THE SHANGHAI CONSPIRACY,HOWARD TURK
THE SHANGHAI FACTOR,CHARLES McCARRY
THE SHANGHAI GESTURE,GARY INDIANA
The Shanghai Horror,Arbogast
THE SHANGHAI INCURSION,Robert P. Fitton
The Shanghai Intrigue,MICHAEL S. KOYAMA
THE Shanghai Madonna,Daniel Dundon
THE SHANGHAI MOON,S. J. ROZAN
The Shanghai Negatives,PHILIP KONOMOS
The Shanghai Noodle Killing STORIES,Ted Plantos
The SHANGHAI OPERATION,HOWARD TURK
THE SHANGHAI SECRET,VANESSA LIND
THE SHANGHAI SILK SCANDAL,JOBIC CHAKALISA
THE SHANGHAI SPY,Howard Turk
The Shanghai Squeeze,WARREN COURT
THE SHANGHAI STRAIN,JC RYAN
The Shanghai Tunnel,Sharan Newman
THE SHANGHAI TWINS,Herman Franck Esq.
THE SHANGHAI UNION OF INDUSTRIAL MYSTICS,Nury Vittachi
The Shanghai Wife,Emma Harcourt
"The Short, Strange Life of Comrade Lin",R. Jean Mathieu
The Sing~song Girls of Shanghai 海上花,HAN BANGQING
The Song of Everlasting Sorrow,Wang Anyi
THE Song of the Jade Lily,Kirsty MANNING
THE VALLEY OF Amazement,AMY TAN
"OZ REIMAGINED, THE VEILED SHANGHAI",Ken Liu
THE WHITE GHOSTS' EMPIRE,ELVIRA BARY
The White Mandarin,Dan Sherman
The Zen Files: Book 1,Unknown
THESE VIOLENT DELIGHTS,CHLOE GONG
THIS IS HOW IT REALLY SOUNDS,Stuart Archer Cohen
THUNDER GOD A JOE HAWKE NOVEL,ROB JONES
TOMORROW IN SHANGHAI AND OTHER STORIES,MAY-LEE CHAI
UNBOUND,Dina Gu Brumfield
Under the Black Clouds,Jenny Qin Zhou
Upon The Sea,Mark Morey
Urban Scenes,Liu Na'ou
VAGABOND VAMPS,Alice Jurow
Water Town,BIJOU LI
WEST OF SHANGHAI,Howard Turk
WHAT WE WERE PROMISED,LUCY TAN
What Would Wade Do?,D. G. Hertz
WHEN RED IS BLACK,QIU XIAOLONG
When the Clouds Rose,Jenny Qin Zhou
WHEN THE FOX DIES EVEN THE RABBIT WEEPS,EDGAR BAILITIS
Where Gardenias Bloomed,SUSAN YUFENG WANG
WHITE GHOSTS,Elvira Baryakina
"WHITE NIGHTS, RED DREAMS",JOHN MORALES
white scrolls,harmen kalman
WHITE SHANGHAI,Elvira Baryakina
Woman from Shanghai,Xianhui Yang
THE YEAR OF THE SHANGHAI SHARK; A NOVEL,MO ZHI HONG
"Years of Red Dust, STORIES OF SHANGHAI",Qiu Xiaolong
YOU CAN'T WRAP FIRE IN PAPER；你不能用纸包起火,Heather Corbally Bryant
"YOUR TURN, MR. MOTO",JOHN P. MARQUAND
