n_personas,persona,role,rank,word,weight
15,1,predicative,36,anxious,0.05534723028540611
15,1,predicative,37,friend,0.050903331488370895
15,1,predicative,38,fool,0.05034253001213074
15,1,predicative,39,concerned,0.04917747899889946
15,1,predicative,40,interested,0.04385276138782501
15,1,predicative,41,frightened,0.042751312255859375
15,1,predicative,42,part,0.03529387339949608
15,1,predicative,43,servant,0.032497864216566086
15,1,predicative,44,ill,0.03052009642124176
15,1,predicative,45,member,0.02977551519870758
15,1,predicative,46,wife,0.028145823627710342
15,1,predicative,47,baby,0.027876010164618492
15,1,predicative,48,weak,0.02682671695947647
15,1,predicative,49,one,0.022582780569791794
15,1,predicative,50,kind,0.0211301501840353
15,2,agent,1,said,1.178298830986023
15,2,agent,2,had,0.7736532092094421
15,2,agent,3,looked,0.7192809581756592
15,2,agent,4,have,0.6568539142608643
15,2,agent,5,asked,0.6411973834037781
15,2,agent,6,know,0.621863603591919
15,2,agent,7,felt,0.6195514798164368
15,2,agent,8,want,0.6031395792961121
15,2,agent,9,wanted,0.5981483459472656
15,2,agent,10,thought,0.576589822769165
15,2,agent,11,saw,0.5146453976631165
15,2,agent,12,came,0.508760929107666
15,2,agent,13,see,0.48490026593208313
15,2,agent,14,sat,0.4640026390552521
15,2,agent,15,think,0.45796164870262146
15,2,agent,16,put,0.45332199335098267
15,2,agent,17,go,0.44087207317352295
15,2,agent,18,feel,0.43135181069374084
15,2,agent,19,do,0.4264107048511505
15,2,agent,20,going,0.4038199782371521
15,2,agent,21,say,0.40045541524887085
15,2,agent,22,left,0.39841005206108093
15,2,agent,23,come,0.3876500725746155
15,2,agent,24,stood,0.3850310146808624
15,2,agent,25,got,0.37562933564186096
15,2,agent,26,remember,0.3492918312549591
15,2,agent,27,get,0.3361494839191437
15,2,agent,28,tell,0.33456534147262573
15,2,agent,29,take,0.3173893094062805
15,2,agent,30,like,0.2969527542591095
15,2,agent,31,let,0.2734558582305908
15,2,agent,32,need,0.2722511291503906
15,2,agent,33,hear,0.2634625732898712
15,2,agent,34,look,0.2587395906448364
15,2,agent,35,understand,0.2502438426017761
15,2,agent,36,make,0.2490311563014984
15,2,agent,37,spoke,0.24632519483566284
15,2,agent,38,ask,0.23304681479930878
15,2,agent,39,mean,0.21527643501758575
15,2,agent,40,become,0.20041491091251373
15,2,agent,41,help,0.1914752721786499
15,2,agent,42,read,0.18968050181865692
15,2,agent,43,find,0.1672816276550293
15,2,agent,44,arrived,0.16484025120735168
15,2,agent,45,leave,0.161680206656456
15,2,agent,46,sit,0.1598571240901947
15,2,agent,47,love,0.15894865989685059
15,2,agent,48,believe,0.149100199341774
15,2,agent,49,give,0.146001398563385
15,2,agent,50,try,0.14086265861988068
15,2,patient,1,tell,0.8400487899780273
15,2,patient,2,see,0.7548530101776123
15,2,patient,3,asked,0.7214820981025696
15,2,patient,4,take,0.6167077422142029
15,2,patient,5,saw,0.5318941473960876
15,2,patient,6,help,0.4906977713108063
15,2,patient,7,ask,0.48943760991096497
15,2,patient,8,left,0.4830610156059265
15,2,patient,9,find,0.46012312173843384
15,2,patient,10,thank,0.43697404861450195
15,2,patient,11,know,0.43539565801620483
15,2,patient,12,keep,0.43269702792167664
15,2,patient,13,put,0.4201764464378357
15,2,patient,14,call,0.38097694516181946
15,2,patient,15,love,0.37768349051475525
15,2,patient,16,get,0.37489089369773865
15,2,patient,17,leave,0.3265312612056732
