model,persona,role,rank,word,weight
P8,4,agent,50,backache,0.2711440324783325
P8,4,patient,1,copper,1.0279942750930786
P8,4,patient,2,captivity,0.9597724080085754
P8,4,patient,3,contribute,0.6591607928276062
P8,4,patient,4,convince,0.6013016104698181
P8,4,patient,5,cappuccino,0.5503755211830139
P8,4,patient,6,corner,0.5189570188522339
P8,4,patient,7,content,0.4630315601825714
P8,4,patient,8,coolie,0.4530555009841919
P8,4,patient,9,connection,0.43962955474853516
P8,4,patient,10,conscience,0.4390515089035034
P8,4,patient,11,contain,0.3787820637226105
P8,4,patient,12,chick,0.36941370368003845
P8,4,patient,13,correspondence,0.3198670446872711
P8,4,patient,14,companion,0.3152261972427368
P8,4,patient,15,consolidate,0.3002178370952606
P8,4,patient,16,confront,0.2989945411682129
P8,4,patient,17,convert,0.29370391368865967
P8,4,patient,18,appear,0.2771039605140686
P8,4,patient,19,contrive,0.26984915137290955
P8,4,patient,20,clamp,0.24070201814174652
P8,4,patient,21,contribution,0.2352270781993866
P8,4,patient,22,consume,0.2338387370109558
P8,4,patient,23,confuse,0.22339625656604767
P8,4,patient,24,confusion,0.22176362574100494
P8,4,patient,25,cluck,0.22089466452598572
P8,4,patient,26,coddle,0.21735012531280518
P8,4,patient,27,compliment,0.21630151569843292
P8,4,patient,28,broil,0.21139027178287506
P8,4,patient,29,convalescence,0.2035720944404602
P8,4,patient,30,commend,0.2031138688325882
P8,4,patient,31,clamor,0.19973722100257874
P8,4,patient,32,bunkmate,0.1963820606470108
P8,4,patient,33,confer,0.19267591834068298
P8,4,patient,34,come,0.18438342213630676
P8,4,patient,35,arena,0.18372593820095062
P8,4,patient,36,comb,0.1819704920053482
P8,4,patient,37,clothe,0.17571771144866943
P8,4,patient,38,collar,0.17540638148784637
P8,4,patient,39,control,0.17330710589885712
P8,4,patient,40,clue,0.17324046790599823
P8,4,patient,41,correct,0.16503483057022095
P8,4,patient,42,comrade,0.16494914889335632
P8,4,patient,43,commit,0.1621103435754776
P8,4,patient,44,coerce,0.15349501371383667
P8,4,patient,45,cocktail,0.1513480842113495
P8,4,patient,46,color,0.14855007827281952
