n_personas,persona,role,rank,word,weight
5,0,predicative,21,sick,0.3204447329044342
5,0,predicative,22,fine,0.3116986155509949
5,0,predicative,23,pregnant,0.2964867353439331
5,0,predicative,24,alone,0.28390568494796753
5,0,predicative,25,sister,0.28333580493927
5,0,predicative,26,asleep,0.26789185404777527
5,0,predicative,27,nervous,0.26663580536842346
5,0,predicative,28,close,0.24456503987312317
5,0,predicative,29,man,0.21685285866260529
5,0,predicative,30,daughter,0.21143579483032227
5,0,predicative,31,free,0.19009004533290863
5,0,predicative,32,part,0.18630097806453705
5,0,predicative,33,proud,0.17679555714130402
5,0,predicative,34,friend,0.17456671595573425
5,0,predicative,35,frightened,0.17351670563220978
5,0,predicative,36,scared,0.15714190900325775
5,0,predicative,37,ill,0.15190427005290985
5,0,predicative,38,hungry,0.14635856449604034
5,0,predicative,39,concerned,0.12204130738973618
5,0,predicative,40,wrong,0.12170075625181198
5,0,predicative,41,determined,0.11369167268276215
5,0,predicative,42,awake,0.11069618910551071
5,0,predicative,43,interested,0.10902932286262512
5,0,predicative,44,first,0.10763397067785263
5,0,predicative,45,upset,0.09641321748495102
5,0,predicative,46,wife,0.08981367200613022
5,0,predicative,47,mistress,0.08410901576280594
5,0,predicative,48,stupid,0.08395777642726898
5,0,predicative,49,anxious,0.08341248333454132
5,0,predicative,50,prostitute,0.0809071958065033
5,1,agent,1,said,1.4311578273773193
5,1,agent,2,had,1.0273635387420654
5,1,agent,3,looked,0.9353896975517273
5,1,agent,4,asked,0.9239843487739563
5,1,agent,5,felt,0.841809868812561
5,1,agent,6,have,0.8312854766845703
5,1,agent,7,thought,0.8025714755058289
5,1,agent,8,know,0.7959135174751282
5,1,agent,9,saw,0.7797096967697144
5,1,agent,10,wanted,0.7696248292922974
5,1,agent,11,want,0.7464621663093567
5,1,agent,12,see,0.6965475082397461
5,1,agent,13,sat,0.687373697757721
5,1,agent,14,think,0.6591076254844666
5,1,agent,15,came,0.6406897306442261
5,1,agent,16,say,0.6343108415603638
5,1,agent,17,going,0.6053324341773987
5,1,agent,18,put,0.5842007398605347
5,1,agent,19,do,0.5822567939758301
5,1,agent,20,go,0.5792323350906372
5,1,agent,21,feel,0.5747668743133545
5,1,agent,22,stood,0.5497304201126099
5,1,agent,23,left,0.5416138768196106
5,1,agent,24,tell,0.5334020853042603
5,1,agent,25,got,0.530066967010498
5,1,agent,26,come,0.5057142376899719
5,1,agent,27,get,0.49856919050216675
5,1,agent,28,let,0.4685523211956024
5,1,agent,29,like,0.45781654119491577
5,1,agent,30,hear,0.4334332048892975
5,1,agent,31,take,0.4233147203922272
5,1,agent,32,look,0.4192522168159485
5,1,agent,33,need,0.40898633003234863
5,1,agent,34,remember,0.3893418610095978
5,1,agent,35,spoke,0.3464752435684204
5,1,agent,36,understand,0.34223487973213196
5,1,agent,37,read,0.3409023582935333
5,1,agent,38,make,0.3406578600406647
5,1,agent,39,ask,0.3259791135787964
5,1,agent,40,mean,0.3058920204639435
5,1,agent,41,help,0.2934844195842743
5,1,agent,42,believe,0.28881022334098816
5,1,agent,43,love,0.2860526442527771
5,1,agent,44,try,0.2732648253440857
5,1,agent,45,become,0.264346718788147
5,1,agent,46,lay,0.2627179026603699
5,1,agent,47,find,0.2619856297969818
5,1,agent,48,stop,0.2548746168613434
5,1,agent,49,arrived,0.2497165948152542
5,1,agent,50,leave,0.235060915350914
5,1,patient,1,tell,1.080129861831665
5,1,patient,2,see,0.9987196326255798
5,1,patient,3,asked,0.8986684679985046
5,1,patient,4,take,0.7415972948074341
5,1,patient,5,saw,0.7239311933517456
5,1,patient,6,help,0.6642305850982666
5,1,patient,7,ask,0.6388616561889648
5,1,patient,8,love,0.6211427450180054
5,1,patient,9,find,0.6181268692016602
5,1,patient,10,thank,0.6016721129417419
5,1,patient,11,put,0.5875557065010071
5,1,patient,12,know,0.574877917766571
5,1,patient,13,left,0.5718371272087097
5,1,patient,14,keep,0.5599595904350281
5,1,patient,15,get,0.5538648962974548
5,1,patient,16,call,0.4904525578022003
5,1,patient,17,bring,0.4674036204814911
5,1,patient,18,leave,0.461087703704834
5,1,patient,19,watching,0.4288812279701233
5,1,patient,20,asking,0.4244423806667328
5,1,patient,21,hurt,0.4152500331401825
5,1,patient,22,gone,0.4122377336025238
5,1,patient,23,married,0.39816170930862427
5,1,patient,24,meet,0.39024826884269714
5,1,patient,25,stop,0.386265367269516
5,1,patient,26,leaving,0.3676668405532837
5,1,patient,27,visit,0.3436224162578583
5,1,patient,28,kill,0.2924021780490875
5,1,patient,29,remind,0.2888615131378174
5,1,patient,30,let,0.2767401933670044
5,1,patient,31,touch,0.27440541982650757
5,1,patient,32,believe,0.26733189821243286
5,1,patient,33,kiss,0.25556138157844543
5,1,patient,34,show,0.2539924383163452
5,1,patient,35,send,0.24227477610111237
5,1,patient,36,want,0.24143259227275848
5,1,patient,37,join,0.2356899082660675
5,1,patient,38,force,0.2323177456855774
5,1,patient,39,protect,0.2276291847229004
5,1,patient,40,remember,0.22272096574306488
5,1,patient,41,pull,0.2053694874048233
5,1,patient,42,forgive,0.20497070252895355
5,1,patient,43,teach,0.20478320121765137
5,1,patient,44,like,0.20254965126514435
5,1,patient,45,hold,0.20226530730724335
5,1,patient,46,give,0.20036926865577698
5,1,patient,47,distract,0.19758039712905884
5,1,patient,48,push,0.18921591341495514
5,1,patient,49,recognize,0.17355725169181824
5,1,patient,50,hit,0.17352208495140076
5,1,possessive,1,mother,1.190775990486145
5,1,possessive,2,head,1.0932172536849976
5,1,possessive,3,face,1.0784152746200562
5,1,possessive,4,hand,0.96784907579422
5,1,possessive,5,father,0.9678312540054321
5,1,possessive,6,sister,0.8776010274887085
5,1,possessive,7,husband,0.8754491806030273
5,1,possessive,8,life,0.8569321036338806
5,1,possessive,9,hair,0.8478958606719971
5,1,possessive,10,voice,0.847805380821228
5,1,possessive,11,room,0.7878025770187378
5,1,possessive,12,body,0.7568247318267822
5,1,possessive,13,mind,0.7505296468734741
5,1,possessive,14,daughter,0.7380647659301758
5,1,possessive,15,mouth,0.7076264023780823
5,1,possessive,16,heart,0.6695794463157654
5,1,possessive,17,family,0.659643828868866
5,1,possessive,18,way,0.6330036520957947
5,1,possessive,19,son,0.6167286038398743
5,1,possessive,20,uncle,0.6088075041770935
5,1,possessive,21,arm,0.6069202423095703
5,1,possessive,22,bed,0.5757803916931152
5,1,possessive,23,name,0.5736120343208313
5,1,possessive,24,death,0.5687720775604248
5,1,possessive,25,aunt,0.5567103624343872
5,1,possessive,26,own,0.5497803092002869
5,1,possessive,27,skin,0.5477674603462219
5,1,possessive,28,shoulder,0.5466130971908569
5,1,possessive,29,brother,0.5412667989730835
5,1,possessive,30,phone,0.5249472260475159
5,1,possessive,31,neck,0.5115855932235718
5,1,possessive,32,grandmother,0.5114452242851257
5,1,possessive,33,friend,0.4972119629383087
5,1,possessive,34,throat,0.4963805377483368
5,1,possessive,35,chest,0.482750803232193
5,1,possessive,36,mom,0.475645512342453
5,1,possessive,37,dad,0.4746433198451996
5,1,possessive,38,cheek,0.4642387926578522
5,1,possessive,39,gaze,0.44116833806037903
5,1,possessive,40,stomach,0.43774354457855225
5,1,possessive,41,back,0.4376900792121887
5,1,possessive,42,home,0.42131614685058594
5,1,possessive,43,apartment,0.41183599829673767
5,1,possessive,44,side,0.40765437483787537
5,1,possessive,45,surprise,0.39883747696876526
5,1,possessive,46,nose,0.3907647430896759
5,1,possessive,47,dress,0.3864423930644989
5,1,possessive,48,breath,0.37292689085006714
5,1,possessive,49,work,0.35779324173927307
5,1,possessive,50,chin,0.33673328161239624
5,1,predicative,1,sure,0.8384420275688171
5,1,predicative,2,sorry,0.714532196521759
5,1,predicative,3,afraid,0.6566224098205566
5,1,predicative,4,girl,0.6500559449195862
5,1,predicative,5,happy,0.6431333422660828
5,1,predicative,6,right,0.5837618112564087
5,1,predicative,7,tired,0.5792911052703857
5,1,predicative,8,old,0.5734450221061707
5,1,predicative,9,beautiful,0.5028793215751648
5,1,predicative,10,good,0.4754403233528137
5,1,predicative,11,woman,0.4704751968383789
5,1,predicative,12,aware,0.44397372007369995
5,1,predicative,13,busy,0.43826058506965637
5,1,predicative,14,child,0.4304760694503784
5,1,predicative,15,ready,0.427243173122406
5,1,predicative,16,person,0.3848746418952942
5,1,predicative,17,angry,0.3808309733867645
5,1,predicative,18,sister,0.36713507771492004
5,1,predicative,19,asleep,0.353468120098114
5,1,predicative,20,lucky,0.3451555073261261
5,1,predicative,21,fine,0.33911627531051636
5,1,predicative,22,mother,0.33323436975479126
5,1,predicative,23,dead,0.3331313729286194
5,1,predicative,24,sick,0.3028509020805359
5,1,predicative,25,man,0.29031142592430115
5,1,predicative,26,pregnant,0.27895107865333557
5,1,predicative,27,alone,0.262227863073349
5,1,predicative,28,close,0.2432834357023239
5,1,predicative,29,nervous,0.23983630537986755
