word,cluster
improve,6
improvement,79
improvise,285
imprudence,143
impudence,143
impugn,200
impulse,218
in,18
inability,115
inaction,143
inadequacy,2
incapable,357
incapacitate,174
incense,477
inch,429
incision,464
incisor,196
inclination,411
incline,480
include,74
inclusion,13
income,479
incorporate,367
increase,79
incredulously,43
incriminating,243
independence,195
index,79
indicate,74
indignation,131
indispensable,398
indiﬀerence,18
induce,333
indulge,41
infant,162
infect,485
infidelity,326
influence,13
inform,27
information,40
infuriate,126
infuse,481
ingest,93
ingratiate,150
inhabit,418
inhalation,80
inhale,80
inherit,220
inheritance,393
inhibit,119
initial,18
initiate,367
inject,481
injection,445
injure,174
ink,112
inkstone,18
innard,18
innocence,393
inoculate,485
inquire,424
inquiry,44
insect,176
insecurity,311
insert,82
inside,429
insight,424
insist,240
insisted,240
insistence,411
insolence,143
inspect,424
inspector,508
inspire,34
instability,257
instinct,218
institute,18
instruct,27
instruction,250
instructor,394
insult,226
intake,93
intelligence,18
intend,266
intensiﬁed,18
intent,411
intention,411
interact,201
intercept,333
interest,221
interested,489
interesting,398
interference,2
interject,388
interlock,504
interpret,27
interpretation,146
interrogate,15
interrogation,15
interrupt,121
interruption,121
intervene,27
interview,29
intestine,358
intimacy,264
intimidate,73
intone,78
intoxicate,365
intrigue,221
introduce,367
introduction,18
inure,367
invade,418
invent,401
inventory,289
invest,289
investigate,424
investigation,44
investor,479
invigorate,282
invitation,437
invite,388
involve,74
involvement,13
inward,429
inﬂecte,18
iove,430
iphone,1
ire,203
irk,483
iron,429
irrationality,143
irresistible,398
irresponsibility,143
irritability,92
irritable,190
irritate,483
irritated,190
irritation,111
isolate,333
issue,437
it,489
italian,1
itch,251
itching,363
itchy,251
item,40
itinerary,193
jab,101
jabber,133
jacket,185
jade,324
jailer,89
jam,11
japan,1
jar,181
jasmine,214
jaw,196
jawline,389
jealousy,36
jean,272
jeer,452
jenneeeeee,18
jenneeeeeeee,18
jeopardise,18
jeopardize,225
jerk,149
jewel,398
jeweler,124
jewelery,324
jewelry,139
jews,1
jialing,430
jibe,142
jiggle,384
jingle,11
jittery,468
jiu,277
jiujiu,18
job,508
jog,32
join,418
joint,18
joke,43
jolt,445
jostle,480
jot,112
journal,301
journey,193
jowl,113
joy,255
joylessness,218
judge,437
judgement,393
judgment,437
jug,181
juggle,377
juice,477
juke,480
jumble,429
jump,397
jumper,506
jumping,397
jumpy,468
justify,240
kaftan,212
kaiser,1
karaoke,11
keep,377
keeper,318
keepsake,391
kerchief,97
key,18
keyboard,216
kick,318
kid,271
kidnap,205
kidnapping,205
kidney,122
kill,174
killer,243
killing,243
kilt,212
kimono,319
kin,162
kind,489
kindness,453
king,314
kinswoman,18
kiss,365
kit,364
